Book,Type,Price,Stocks,Review
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,£15.44,16,4
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,£48.41,16,1
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,£46.35,16,1
On a Midnight Clear,Add a comment,£14.07,16,3
Obsidian (Lux #1),Young Adult,£14.86,16,2
My Paris Kitchen: Recipes and Stories,Food and Drink,£33.37,16,2
Masks and Shadows,Fantasy,£56.40,16,2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,£14.02,16,4
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,£46.91,16,2
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,£45.61,16,3
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,£19.92,16,2
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,£40.11,16,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,£53.90,16,2
Join,Science Fiction,£35.67,16,5
In the Country We Love: My Family Divided,Nonfiction,£22.00,16,4
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,£57.36,16,5
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,£29.17,16,2
I am a Hero Omnibus Volume 1,Sequential Art,£54.63,16,3
How to Be Miserable: 40 Strategies You Already Use,Self Help,£46.03,16,1
Her Backup Boyfriend (The Sorensen Family #1),Romance,£33.97,16,1
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,£22.11,16,2
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,£29.69,16,3
First and First (Five Boroughs #3),Romance,£15.97,16,4
Fifty Shades Darker (Fifty Shades #2),Romance,£21.96,16,1
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,£54.35,16,2
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,£37.97,16,2
Danganronpa Volume 1,Sequential Art,£51.99,16,4
Crown of Midnight (Throne of Glass #2),Fantasy,£43.29,16,3
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,£36.72,16,4
Camp Midnight,Sequential Art,£17.08,16,4
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,£29.14,16,5
Burning,Young Adult,£28.81,16,3
Bossypants,Default,£49.46,16,2
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,£37.92,16,2
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,£28.09,16,2
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,£30.81,16,1
A World of Flavor: Your Gluten Free Passport,Default,£42.95,16,1
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,£56.76,16,5
A Murder in Time,Mystery,£16.64,16,1
A Flight of Arrows (The Pathfinders #2),Historical Fiction,£55.53,16,5
A Fierce and Subtle Poison,Young Adult,£28.13,16,4
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,£52.37,16,1
(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,£54.00,16,5
You Are What You Love: The Spiritual Power of Habit,Religion,£21.87,15,4
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,£43.30,15,4
Tuesday Nights in 1980,Fiction,£21.04,15,2
Tracing Numbers on a Train,Default,£41.60,15,3
Throne of Glass (Throne of Glass #1),Fantasy,£35.07,15,3
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,£59.64,15,1
Thirteen Reasons Why,Default,£52.72,15,1
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Childrens,£58.08,15,4
The Wedding Dress,Romance,£24.12,15,1
The Vacationers,Fiction,£42.15,15,4
The Third Wave: An Entrepreneur’s Vision of the Future,Business,£12.61,15,5
The Stranger,Philosophy,£17.44,15,4
The Shadow Hero (The Shadow Hero),Sequential Art,£33.14,15,1
The Secret (The Secret #1),Default,£27.37,15,4
The Regional Office Is Under Attack!,Fiction,£51.36,15,5
The Psychopath Test: A Journey Through the Madness Industry,Default,£36.00,15,2
The Project,Science Fiction,£10.65,15,1
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,£43.54,15,2
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,£38.21,15,2
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,£37.34,15,5
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,£44.10,15,4
The Mistake (Off-Campus #2),New Adult,£43.29,15,3
The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,£55.85,15,1
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,£37.60,15,2
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,£10.97,15,1
The Kite Runner,Default,£41.82,15,4
The House by the Lake,Historical Fiction,£36.95,15,1
The Glittering Court (The Glittering Court #1),Fantasy,£44.28,15,1
The Girl on the Train,Default,£55.02,15,2
The Genius of Birds,Nonfiction,£17.24,15,1
The Emerald Mystery,Default,£23.15,15,2
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,£41.25,15,1
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,£32.00,15,3
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,£38.49,15,5
The Art of War,Default,£33.34,15,5
The Argonauts,Autobiography,£10.93,15,2
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,£27.55,15,3
Suddenly in Love (Lake Haven #1),Romance,£55.99,15,2
Something More Than This,Romance,£16.24,15,4
Soft Apocalypse,Science Fiction,£26.12,15,2
So You've Been Publicly Shamed,Nonfiction,£12.23,15,2
Shoe Dog: A Memoir by the Creator of NIKE,Business,£23.99,15,2
"Shobu Samurai, Project Aryoku (#3)",Add a comment,£29.06,15,3
Secrets and Lace (Fatal Hearts #1),Default,£20.27,15,1
Scarlett Epstein Hates It Here,Young Adult,£43.55,15,5
Romero and Juliet: A Tragic Tale of Love and Zombies,Default,£36.94,15,1
Redeeming Love,Christian Fiction,£20.47,15,5
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,£41.06,15,1
Poems That Make Grown Women Cry,Poetry,£14.19,15,4
"Nightingale, Sing",Young Adult,£38.28,15,1
Night Sky with Exit Wounds,Poetry,£41.05,15,1
Mrs. Houdini,Historical Fiction,£30.25,15,5
Modern Romance,Add a comment,£28.26,15,5
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),Default,£10.76,15,1
Louisa: The Extraordinary Life of Mrs. Adams,Biography,£16.85,15,2
Little Red,Childrens,£13.47,15,3
Library of Souls (Miss Peregrine’s Peculiar Children #3),Young Adult,£48.56,15,5
Large Print Heart of the Pride,Default,£19.15,15,2
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,£57.36,15,4
Hollow City (Miss Peregrine’s Peculiar Children #2),Fantasy,£42.98,15,1
Grumbles,Default,£22.16,15,2
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,£49.43,15,4
Frostbite (Vampire Academy #2),Young Adult,£29.99,15,5
Follow You Home,Horror,£21.36,15,1
First Steps for New Christians (Print Edition),Default,£29.00,15,1
Finders Keepers (Bill Hodges Trilogy #2),Fiction,£53.53,15,5
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,£41.62,15,4
Eureka Trivia 6.0,Default,£54.59,15,4
Drive: The Surprising Truth About What Motivates Us,Default,£34.95,15,4
Done Rubbed Out (Reightman & Bailey #1),Default,£37.72,15,5
Doing It Over (Most Likely To #1),Romance,£35.61,15,3
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,£42.16,15,3
Dark Notes,Erotica,£19.19,15,5
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,£19.43,15,3
Close to You,Christian Fiction,£49.46,15,4
Chasing Heaven: What Dying Taught Me About Living,Spirituality,£37.80,15,2
Big Magic: Creative Living Beyond Fear,Nonfiction,£30.80,15,3
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,£27.43,15,2
Beauty Restored (Riley Family Legacy Novellas #3),Default,£11.11,15,2
Batman: The Long Halloween (Batman),Sequential Art,£36.50,15,2
Batman: The Dark Knight Returns (Batman),Sequential Art,£15.38,15,5
Ayumi's Violin,Default,£15.48,15,2
Anonymous,Default,£46.82,15,4
Amy Meets the Saints and Sages,Default,£18.46,15,3
Amid the Chaos,Cultural,£36.58,15,1
Amatus,Default,£50.54,15,5
Agnostic: A Spirited Manifesto,Nonfiction,£12.51,15,5
Zealot: The Life and Times of Jesus of Nazareth,History,£24.70,14,3
You (You #1),Thriller,£43.61,14,5
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,£37.34,14,4
Wild Swans,Young Adult,£14.36,14,2
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Politics,£52.65,14,4
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,£38.20,14,4
What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,£19.60,14,2
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,£53.90,14,1
Walt Disney's Alice in Wonderland,Childrens,£12.96,14,5
V for Vendetta (V for Vendetta Complete),Default,£37.10,14,4
Until Friday Night (The Field Party #1),Young Adult,£46.31,14,2
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Default,£45.95,14,2
Twenty Yawns,Childrens,£22.08,14,2
Through the Woods,Sequential Art,£25.38,14,2
This Is Where It Ends,Young Adult,£27.12,14,2
The Year of Magical Thinking,Nonfiction,£43.04,14,2
The Wright Brothers,Default,£56.80,14,4
The White Queen (The Cousins' War #1),Add a comment,£25.91,14,5
The Wedding Pact (The O'Malleys #2),Romance,£32.61,14,3
The Time Keeper,Fiction,£27.88,14,5
The Testament of Mary,Fiction,£52.67,14,4
The Star-Touched Queen,Fantasy,£46.02,14,5
The Songs of the Gods,Default,£44.48,14,5
The Song of Achilles,Add a comment,£37.40,14,5
The Rosie Project (Don Tillman #1),Default,£54.04,14,1
The Power of Habit: Why We Do What We Do in Life and Business,Default,£16.88,14,3
The Marriage of Opposites,Historical Fiction,£28.08,14,4
The Lucifer Effect: Understanding How Good People Turn Evil,Psychology,£10.40,14,1
The Long Haul (Diary of a Wimpy Kid #9),Humor,£44.07,14,1
The Loney,Horror,£23.40,14,1
The Literature Book (Big Ideas Simply Explained),Nonfiction,£17.43,14,3
The Last Mile (Amos Decker #2),Mystery,£54.21,14,2
The Immortal Life of Henrietta Lacks,Add a comment,£40.67,14,2
The Hidden Oracle (The Trials of Apollo #1),Fantasy,£52.26,14,2
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Food and Drink,£28.77,14,3
The Guilty (Will Robie #4),Thriller,£13.82,14,2
The First Hostage (J.B. Collins #2),Fiction,£25.85,14,3
The Dovekeepers,Add a comment,£48.78,14,1
The Darkest Lie,Young Adult,£35.35,14,5
The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,£44.73,14,4
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,Nonfiction,£15.77,14,1
The 14th Colony (Cotton Malone #11),Thriller,£39.24,14,1
That Darkness (Gardiner and Renner #1),Mystery,£13.92,14,1
Tastes Like Fear (DI Marnie Rome #3),Mystery,£10.69,14,1
Take Me with You,Fiction,£45.21,14,3
Swell: A Year of Waves,Nonfiction,£45.58,14,1
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,£11.89,14,5
Still Life with Bread Crumbs,Fiction,£26.41,14,3
Steve Jobs,Default,£39.50,14,5
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,£44.74,14,4
Someone Like You (The Harrisons #2),Contemporary,£52.79,14,5
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,£35.43,14,4
Shtum,Fiction,£55.84,14,4
See America: A Celebration of Our National Parks & Treasured Sites,Travel,£48.87,14,3
salt.,Poetry,£46.78,14,4
Robin War,Sequential Art,£47.82,14,3
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,£25.48,14,2
Rain Fish,Childrens,£23.57,14,3
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,£50.89,14,5
Pet Sematary,Horror,£10.56,14,3
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Self Help,£52.15,14,3
Once Was a Time,Childrens,£18.28,14,2
Old School (Diary of a Wimpy Kid #10),Humor,£11.83,14,5
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,£21.95,14,2
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,£38.39,14,2
My Name Is Lucy Barton,Fiction,£41.56,14,1
My Mrs. Brown,Fiction,£24.48,14,3
My Kind of Crazy,Young Adult,£40.36,14,1
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,£28.90,14,1
More Than Music (Chasing the Dream #1),Add a comment,£37.61,14,2
Made to Stick: Why Some Ideas Survive and Others Die,Business,£38.85,14,5
Luis Paints the World,Childrens,£53.95,14,3
Luckiest Girl Alive,Default,£49.83,14,3
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,£51.51,14,2
Love Is a Mix Tape (Music #1),Music,£18.03,14,1
Looking for Lovely: Collecting the Moments that Matter,Nonfiction,£29.14,14,5
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Default,£46.91,14,4
Let It Out: A Journey Through Journaling,Nonfiction,£26.79,14,5
Lady Midnight (The Dark Artifices #1),Default,£16.28,14,5
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Food and Drink,£19.55,14,1
Island of Dragons (Unwanteds #7),Fantasy,£29.65,14,1
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Humor,£25.98,14,4
I Am Pilgrim (Pilgrim #1),Fiction,£10.60,14,4
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor,£14.75,14,5
"Hush, Hush (Hush, Hush #1)",Default,£47.02,14,3
Hold Your Breath (Search and Rescue #1),Romance,£28.82,14,1
Hamilton: The Revolution,Nonfiction,£58.79,14,3
Greek Mythic History,Default,£10.23,14,5
God: The Most Unpleasant Character in All Fiction,Religion,£30.03,14,5
Glory over Everything: Beyond The Kitchen House,Historical Fiction,£45.84,14,3
Feathers: Displays of Brilliant Plumage,Art,£49.05,14,3
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,£15.06,14,4
Every Last Word,Default,£46.47,14,3
Eligible (The Austen Project #4),Fiction,£27.09,14,3
El Deafo,Sequential Art,£57.62,14,5
Eight Hundred Grapes,Fiction,£14.39,14,4
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,£51.75,14,5
"Eat Fat, Get Thin",Health,£54.07,14,2
Don't Get Caught,Young Adult,£55.35,14,1
Doctor Sleep (The Shining #2),Horror,£40.12,14,2
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Fantasy,£37.51,14,5
Dear Mr. Knightley,Fiction,£11.21,14,5
Daily Fantasy Sports,Default,£36.58,14,1
Crazy Love: Overwhelmed by a Relentless God,Christian,£47.72,14,2
Cometh the Hour (The Clifton Chronicles #6),Fiction,£25.01,14,3
Code Name Verity (Code Name Verity #1),Add a comment,£22.13,14,4
Clockwork Angel (The Infernal Devices #1),Default,£44.14,14,1
City of Glass (The Mortal Instruments #3),Fantasy,£56.02,14,4
City of Fallen Angels (The Mortal Instruments #4),Default,£11.23,14,4
City of Bones (The Mortal Instruments #1),Default,£43.28,14,1
City of Ashes (The Mortal Instruments #2),Default,£47.27,14,1
Cell,Add a comment,£20.29,14,4
Catching Jordan (Hundred Oaks),Young Adult,£50.83,14,3
"Carry On, Warrior: Thoughts on Life Unarmed",Default,£31.85,14,3
Carrie,Default,£46.23,14,2
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,£37.80,14,4
Brain on Fire: My Month of Madness,Nonfiction,£49.32,14,5
Batman: Europa,Sequential Art,£32.01,14,2
Barefoot Contessa Back to Basics,Food and Drink,£28.01,14,1
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Food and Drink,£50.62,14,5
Balloon Animals,Fiction,£17.03,14,3
Art Ops Vol. 1,Sequential Art,£48.80,14,3
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Young Adult,£58.14,14,4
Angels Walking (Angels Walking #1),Add a comment,£34.20,14,2
Angels & Demons (Robert Langdon #1),Default,£51.48,14,3
All the Light We Cannot See,Historical,£29.87,14,5
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,£10.90,14,2
Abstract City,Nonfiction,£56.37,14,5
A Time of Torment (Charlie Parker #14),Mystery,£48.35,14,5
A Study in Scarlet (Sherlock Holmes #1),Mystery,£16.73,14,2
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Add a comment,£56.48,14,2
A People's History of the United States,Add a comment,£40.79,14,2
A Man Called Ove,Fiction,£39.72,14,1
A Distant Mirror: The Calamitous 14th Century,History,£14.58,14,3
A Brush of Wings (Angels Walking #3),Add a comment,£55.51,14,1
1491: New Revelations of the Americas Before Columbus,History,£21.80,14,3
"The Three Searches, Meaning, and the Story",Default,£13.33,13,3
Searching for Meaning in Gailana,Fantasy,£38.73,13,1
Rook,Add a comment,£37.86,13,4
My Kitchen Year: 136 Recipes That Saved My Life,Food and Drink,£11.53,13,2
13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,£27.06,13,1
Will You Won't You Want Me?,Womens Fiction,£13.86,12,3
Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,£37.55,12,1
The Star-Touched Queen,Fantasy,£32.30,12,5
The Silent Sister (Riley MacPherson #1),Fiction,£46.29,12,5
The Midnight Watch: A Novel of the Titanic and the Californian,Add a comment,£26.20,12,1
The Lonely City: Adventures in the Art of Being Alone,Nonfiction,£33.26,12,2
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Add a comment,£59.15,12,4
The Golden Condom: And Other Essays on Love Lost and Found,Psychology,£39.43,12,1
The Epidemic (The Program 0.6),Young Adult,£14.44,12,5
The Dinner Party,Fiction,£56.54,12,2
The Diary of a Young Girl,Nonfiction,£59.90,12,3
The Children,Add a comment,£11.88,12,3
Stars Above (The Lunar Chronicles #4.5),Young Adult,£48.05,12,2
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,£21.21,12,3
Raspberry Pi Electronics Projects for the Evil Genius,Default,£49.67,12,4
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Business,£43.14,12,1
Psycho: Sanitarium (Psycho #1.5),Horror,£36.97,12,5
Poisonous (Max Revere Novels #3),Mystery,£26.80,12,3
One with You (Crossfire #5),Add a comment,£15.71,12,4
No Love Allowed (Dodge Cove #1),Young Adult,£54.65,12,4
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,£54.36,12,4
Most Wanted,Mystery,£35.28,12,3
"Love, Lies and Spies",Historical Fiction,£20.55,12,2
How to Speak Golf: An Illustrated Guide to Links Lingo,Default,£58.32,12,5
Hide Away (Eve Duncan #20),Mystery,£11.84,12,1
Furiously Happy: A Funny Book About Horrible Things,Nonfiction,£41.46,12,4
Everyday Italian: 125 Simple and Delicious Recipes,Food and Drink,£20.10,12,5
Equal Is Unfair: America's Misguided Fight Against Income Inequality,Politics,£56.86,12,1
Eleanor & Park,Default,£56.51,12,5
Dirty (Dive Bar #1),Romance,£40.83,12,4
Can You Keep a Secret? (Fear Street Relaunch #4),Horror,£48.64,12,1
Boar Island (Anna Pigeon #19),Mystery,£59.48,12,3
A Paris Apartment,Historical Fiction,£39.01,12,4
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,£38.77,12,1
Troublemaker: Surviving Hollywood and Scientology,Default,£48.39,11,2
The Widow,Mystery,£27.26,11,2
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,£11.68,11,4
The Improbability of Love,Fiction,£59.45,11,1
The Art of Startup Fundraising,Business,£21.00,11,3
Take Me Home Tonight (Rock Star Romance #3),Romance,£53.98,11,3
Sleeping Giants (Themis Files #1),Science Fiction,£48.74,11,1
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Biography,£21.15,11,2
Playing with Fire,Mystery,£13.71,11,3
Off the Hook (Fishing for Trouble #1),Romance,£47.67,11,3
